epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.477237,0.98805,2.64768,1.31211,0.55922,0.85,0.87795,0.63376,1.65387,1.03009,1.37847,0,0,0
2,0.720214,1.0377,3.25843,1.38245,0.55757,0.85,0.88493,0.63524,1.66884,1.02763,1.38308,1.15073e-06,1.15073e-06,1.15073e-06
3,0.945742,1.39932,2.76489,1.7906,0.55297,0.85,0.84976,0.63191,1.69133,1.03814,1.39183,2.22292e-06,2.22292e-06,2.22292e-06
4,1.17176,1.5011,3.03568,2.07472,0.54982,0.85,0.85456,0.63772,1.70326,1.03088,1.3956,3.21657e-06,3.21657e-06,3.21657e-06
5,1.45028,1.49932,3.30702,1.95679,0.59224,0.92842,0.90575,0.6438,1.67907,1.01374,1.36889,4.13168e-06,4.13168e-06,4.13168e-06
6,1.83023,1.16694,2.77166,1.4783,0.81876,0.6426,0.85747,0.62443,1.663,1.00801,1.35889,4.96825e-06,4.96825e-06,4.96825e-06
7,2.1503,1.14191,2.4296,1.41582,0.54148,0.85,0.85791,0.62389,1.67083,1.02753,1.36252,5.72628e-06,5.72628e-06,5.72628e-06
8,2.46939,1.03149,2.60559,1.27557,0.54214,0.85,0.85833,0.62617,1.67805,1.03089,1.37062,6.40577e-06,6.40577e-06,6.40577e-06
9,2.88706,1.14812,3.79113,1.50066,0.55601,0.86667,0.89482,0.63,1.65085,1.0185,1.35058,7.00672e-06,7.00672e-06,7.00672e-06
10,3.2099,1.02148,2.61347,1.25779,0.76926,0.65,0.89466,0.63067,1.65274,1.02015,1.35308,7.52913e-06,7.52913e-06,7.52913e-06
11,3.5145,1.16353,2.92965,1.42507,0.63723,0.9408,0.90828,0.63421,1.63828,1.02394,1.34664,7.973e-06,7.973e-06,7.973e-06
12,3.82754,0.93389,2.26413,1.30275,0.65317,0.77514,0.90936,0.63246,1.63537,1.03087,1.34659,8.33833e-06,8.33833e-06,8.33833e-06
13,4.14616,0.90025,2.0683,1.40866,0.65518,0.77323,0.91171,0.63869,1.63513,1.03607,1.34029,8.62512e-06,8.62512e-06,8.62512e-06
14,4.45133,1.04652,2.39546,1.4221,0.64782,0.77832,0.91279,0.64393,1.62014,1.04081,1.33147,8.83337e-06,8.83337e-06,8.83337e-06
15,4.85069,1.04468,2.01129,1.41226,0.65438,0.77728,0.91284,0.64371,1.61711,1.05329,1.33168,8.96308e-06,8.96308e-06,8.96308e-06
16,5.16273,1.02219,2.51699,1.55233,0.81274,0.65,0.91302,0.64862,1.60284,1.06683,1.32605,9.01425e-06,9.01425e-06,9.01425e-06
17,5.477,0.96528,2.55782,1.37206,0.82885,0.65,0.91305,0.64432,1.61566,1.08048,1.33394,8.98688e-06,8.98688e-06,8.98688e-06
18,5.77117,1.20327,2.75457,1.51321,0.82885,0.65,0.91305,0.64432,1.61566,1.08048,1.33394,8.88097e-06,8.88097e-06,8.88097e-06
19,6.10469,1.20481,1.75782,1.3671,0.82046,0.65,0.91313,0.64322,1.63007,1.098,1.33812,8.69652e-06,8.69652e-06,8.69652e-06
20,6.41164,1.03142,1.65441,1.31106,0.82046,0.65,0.91313,0.64322,1.63007,1.098,1.33812,8.43353e-06,8.43353e-06,8.43353e-06
21,6.74066,0.94755,1.31474,1.33236,0.80465,0.65,0.87045,0.6411,1.62041,1.0988,1.33547,8.092e-06,8.092e-06,8.092e-06
22,7.06013,0.86617,1.29481,1.23465,0.80465,0.65,0.87045,0.6411,1.62041,1.0988,1.33547,7.67193e-06,7.67193e-06,7.67193e-06
23,7.45874,0.87214,1.25795,1.27981,0.77941,0.65,0.86236,0.63859,1.63526,1.12374,1.34109,7.17332e-06,7.17332e-06,7.17332e-06
24,7.75183,0.73069,1.48884,1.17897,0.77941,0.65,0.86236,0.63859,1.63526,1.12374,1.34109,6.59617e-06,6.59617e-06,6.59617e-06
25,8.07897,0.87948,1.40704,1.26039,0.7615,0.65,0.8618,0.62903,1.64001,1.1435,1.34817,5.94048e-06,5.94048e-06,5.94048e-06
26,8.37002,0.73744,1.11794,1.12335,0.7615,0.65,0.8618,0.62903,1.64001,1.1435,1.34817,5.20625e-06,5.20625e-06,5.20625e-06
27,8.70143,0.85217,1.45506,1.19423,0.74964,0.6563,0.85731,0.63229,1.6127,1.152,1.34227,4.39348e-06,4.39348e-06,4.39348e-06
28,9.01419,1.14011,1.92511,1.15317,0.74964,0.6563,0.85731,0.63229,1.6127,1.152,1.34227,3.50217e-06,3.50217e-06,3.50217e-06
29,9.40676,0.80321,1.17865,1.20413,0.61067,0.86667,0.86456,0.63241,1.58308,1.09865,1.32426,2.53232e-06,2.53232e-06,2.53232e-06
30,9.69779,0.88486,1.31353,1.25209,0.61067,0.86667,0.86456,0.63241,1.58308,1.09865,1.32426,1.48393e-06,1.48393e-06,1.48393e-06
